Shift,Strength
1824.5291,1380.3082
1825.9697,1356.6942
1827.4104,1409.6371
1828.8511,1429.0012
1830.2919,1393.8149
1831.7325,1400.9896
1833.1732,1400.447
1834.614,1412.1793
1836.0547,1383.967
1837.4954,1386.839
1838.936,1394.8217
1840.3768,1402.5187
1841.8175,1416.3369
1843.2582,1418.4224
1844.699,1399.5374
1846.1396,1366.332
1847.5803,1360.4192
1849.021,1383.735
1850.4618,1391.2985
1851.9025,1412.165
1853.3431,1398.5614
1854.7839,1341.5641
1856.2246,1350.0381
1857.6653,1356.351
1859.1061,1347.3438
1860.5468,1345.646
1861.9874,1400.2157
1863.4281,1327.3823
1864.8689,1396.1063
1866.3096,1406.4829
1867.7502,1379.4048
1869.191,1330.5115
1870.6317,1356.6157
1872.0724,1345.8381
